,N,p,LCS
0,100,0.0025,0.03
1,100,0.005,0.03
2,100,0.0075,0.09
3,100,0.01,0.2
4,100,0.01901292546497023,0.72
5,100,0.02802585092994046,0.95
6,100,0.03703877639491069,0.97
7,100,0.04605170185988092,0.99
8,100,0.09210340371976183,1.0
9,100,0.18420680743952367,1.0
10,1000,0.00025,0.006
11,1000,0.0005,0.01
12,1000,0.00075,0.028
13,1000,0.001,0.062
14,1000,0.002476938819745534,0.877
15,1000,0.003953877639491068,0.98
16,1000,0.0054308164592366025,0.994
17,1000,0.006907755278982137,0.999
18,1000,0.013815510557964273,1.0
19,1000,0.027631021115928547,1.0
20,5000,5e-05,0.0016
21,5000,0.0001,0.0024
22,5000,0.00015,0.0092
23,5000,0.0002,0.084
24,5000,0.0005758596595708119,0.9322
25,5000,0.0009517193191416239,0.9928
26,5000,0.0013275789787124356,0.9992
27,5000,0.0017034386382832477,0.9998
28,5000,0.0034068772765664954,1.0
29,5000,0.006813754553132991,1.0
30,10000,2.5e-05,0.0007
31,10000,5e-05,0.002
32,10000,7.5e-05,0.0078
33,10000,0.0001,0.0404
34,10000,0.0003052585092994046,0.9436
35,10000,0.0005105170185988092,0.9944
36,10000,0.0007157755278982137,0.9996
37,10000,0.0009210340371976184,1.0
38,10000,0.0018420680743952368,1.0
39,10000,0.0036841361487904736,1.0
40,25000,1e-05,0.00032
41,25000,2e-05,0.00096
42,25000,3e-05,0.00424
43,25000,4e-05,0.0552
44,25000,0.00013126631103850338,0.95892
45,25000,0.00022253262207700674,0.9962
46,25000,0.00031379893311551016,0.99936
47,25000,0.0004050652441540135,0.99996
48,25000,0.000810130488308027,1.0
49,25000,0.001620260976616054,1.0
50,50000,5e-06,0.0002
51,50000,1e-05,0.00046
52,50000,1.5e-05,0.00156
53,50000,2e-05,0.0101
54,50000,6.909889142205142e-05,0.9656
55,50000,0.00011819778284410284,0.99678
56,50000,0.00016729667426615427,0.99972
57,50000,0.00021639556568820567,0.99996
58,50000,0.00043279113137641135,1.0
59,50000,0.0008655822627528227,1.0
60,100000,2.5e-06,0.00012
61,100000,5e-06,0.00023
62,100000,7.5e-06,0.00084
63,100000,1e-05,0.01363
64,100000,3.628231366242557e-05,0.97059
65,100000,6.256462732485114e-05,0.99792
66,100000,8.884694098727671e-05,0.9999
67,100000,0.00011512925464970229,0.99998
68,100000,0.00023025850929940457,1.0
69,100000,0.00046051701859880915,1.0
